domain,frequency
docs.google.com,1843
drive.google.com,480
reurl.cc,59
1drv.ms,52
www.notion.so,37
www.dropbox.com,26
tinyurl.com,11
walnut-planarian-4a2.notion.site,8
highfalutin-feverfew-5f0.notion.site,8
likeable-manx-e71.notion.site,7
momoju.notion.site,7
bit.ly,5
www.facebook.com,5
hackmd.io,4
mopsov.twse.com.tw,3
youtu.be,3
ppt.cc,3
stitch-seatbelt-b23.notion.site,3
slash-swing-a80.notion.site,2
www.youtube.com,2
www.canva.com,2
www.threads.com,2
www.elle.com,2
08imoney.com,2
gemini.google.com,1
tw.stock.yahoo.com,1
xhslink.com,1
www.jwcpas.com.tw,1
sg.docworkspace.com,1
www.bloomberg.com,1
www.bnext.com.tw,1
youtube.com,1
www.sinotrade.com.tw,1
www.tpex.org.tw,1
kindhearted-jersey-ac1.notion.site,1
www.moneydj.com,1
ai.finlab.tw,1
makssin.blogspot.com,1
socialworkerdaily.com,1
ratingsnotes.notion.site,1
www.ptt.cc,1
govstat.taichung.gov.tw,1
www.pttweb.cc,1
news.cnyes.com,1
pattern-magazine-e7f.notion.site,1
yuaninvest.blog,1
m.moneydj.com,1
mp.weixin.qq.com,1
www.onrunningtw.com,1
www.technowvoice.com,1
kenlu.net,1
x.com,1
winwin17888.info,1
stock-prediction-tw-mbhnkzevkqru4amgqjrpqb.streamlit.app,1
