id,date,time,author_id,author,text,link
1,2025/4/3（週四） 17:11,17:11,501,501-0723486Mason,四月小作文-0050元大台灣50,https://1drv.ms/u/s!AoaAyZHt1qThgRnnZPjmjLXlpMal?e=QtBZG4
2,2025/4/3（週四） 17:13,17:13,502,⚡⭐502-0724579 Cowboy,四月小作文-來頡6799,https://drive.google.com/file/d/1RUl7XhxyJpxKO4RBX0AxeeyD4ABYPU_l/view?usp=sharing
3,2025/4/4（週五） 17:46,17:46,504,504-0718103Leo,四月小作文-精確3162,https://docs.google.com/document/d/16TkL54YmFAToS1UR26VdV_mYgr8bCAml/edit?tab=t.0
4,2025/4/4（週五） 17:48,17:48,505,505-0724540捲髮狼,四月小作文-5515建國,https://drive.google.com/file/d/1dwnVczcEvhIIj5TOXRHVow876da6zAGp/view?usp=drivesdk
5,2025/4/5（週六） 12:21,12:21,383,383-0488695 三寶,小作文-2424隴華,https://docs.google.com/document/d/10nDGa7nWuSZCLhU9qtR_VW8Cx-yQllk5/edit?usp=drive_link&ouid=105443695704290227678&rtpof=true&sd=true
6,2025/4/5（週六） 13:19,13:19,421,421-0299033青蛙狼,,https://docs.google.com/document/d/1-OeWOZfZ8-KQb2-S-QhfthC7k-UPb4KofyzmLiGT17Y/edit
7,2025/4/5（週六） 14:09,14:09,503,503-0551726千千,四月小作文-日月光投控 3711,https://drive.google.com/file/d/1ADg9NnB10z3qjnSZPOn6BLh_Fz8wjY9T/view?usp=sharing
8,2025/4/5（週六） 14:14,14:14,506,506-0723994 樂觀感恩,四月小作文-TIPT,https://docs.google.com/document/d/1W2vOOJBLSdoRWxmjh7x3S5nyYvW1YaUenZxGpB28hSA/edit?usp=sharing
9,2025/4/5（週六） 14:50,14:50,381,381-0491048彼得森,小作文-3434哲固,https://docs.google.com/document/d/1J4ZO4YkbQefHXUjjqTz0tp47bSOqTX_6MsWsf4tHHKk/edit?tab=t.0
10,2025/4/5（週六） 15:17,15:17,440,440-0208121  voice,3月小作文-2383台光電,https://docs.google.com/document/d/1XdqN_JI8so3cJYskXKZGqKhhw3XTb7nu/edit?usp=sharing&ouid=112140481029709627573&rtpof=true&sd=true
11,2025/4/5（週六） 19:12,19:12,414,414-0505439JCCC,三月份小作文-大成鋼-2027,https://www.dropbox.com/scl/fi/ji8p822xcgvi3efq9l2r3/2027-JCCC.docx?rlkey=djtg9ba6hoae8yoz36332lybw&st=g5v3akab&dl=0
12,2025/4/5（週六） 21:41,21:41,434,434-0547510菲獅,四月小作文-聯發科2454,https://docs.google.com/document/d/1cZkdPLu1swM61r2CEHZpRzsnp9NaoYy6LvIvcxODvOw/edit?tab=t.0
13,2025/4/5（週六） 23:16,23:16,441,441-0558088田橋子,,https://docs.google.com/document/d/10lCS49RS2wA1AfZF6qnF7cpavj_NzrfEAMpzOH1gin8/edit
14,2025/4/5（週六） 23:40,23:40,428,428-0429751貝卡,3月小作文- 鴻海(2317),https://docs.google.com/document/d/1AhIMeRaLiTVQccemmE-_WbcNTdRsIU5nzWoXqZ5T3Gg/edit?usp=sharing
15,2025/4/6（週日） 00:22,00:22,477,477-0696872過兒,四月小作文，龍巖,https://docs.google.com/document/d/10jVsypGJL9wTxitWNs-jPjcvOerC8G-sw_4ouflfUOo/edit?usp=sharing
16,2025/4/6（週日） 16:34,16:34,507,507-0707376shihhan,四月小作文-閎康（3587）,https://docs.google.com/document/d/11m5SjeaSN3HQIgSSlgNjQpdrjBrladZj/edit?usp=drive_link&ouid=117966200728833153923&rtpof=true&sd=true
17,2025/4/6（週日） 17:28,17:28,508,508-0324115 Sean,四月小作文-敬鵬 2355,https://docs.google.com/document/d/1u5glQpgm2k7-To-A_Zqz4hVW8Ivl_8IavXlxnbst_nc/edit?tab=t.0
18,2025/4/6（週日） 23:11,23:11,463,463-0428875JoeC,三月小作文-智原3035,https://docs.google.com/document/d/1dnlXErU0HtkmyuNLvHrRavl8Dccgdry92Xd53QInGL0/edit?usp=sharing
19,2025/4/6（週日） 23:15,23:15,377,377-0399496-99496-糸隹,四月小作文-2634漢翔,https://docs.google.com/file/d/1IckbvXfOLIwZBBtgJJ1lUiGj9CqgFXUw/edit?usp=docslist_api&filetype=msword
20,2025/4/6（週日） 23:56,23:56,392,392-0426534定宏,三月的小作文,https://docs.google.com/document/d/1JtDMnnpg3cjVJB74ox4x7rwUueZOBglDpC-cvMIptmQ/edit
21,2025/4/7（週一） 00:27,00:27,424,424-0528115guidex,三月的小作文  6739 竹陞科技,https://drive.google.com/file/d/1PMnOOENY2ncXjGStdiFKx6dGmNjcoL0w/view?usp=drive_link
22,2025/4/7（週一） 00:49,00:49,418,418-0521235Dave,三月小作文 籌碼分析5309,https://docs.google.com/document/d/198lcI2tvcdmaD7j4tZu4NOwiTxQrjpBg1Io9VvytSxQ/edit?usp=sharing
23,2025/4/7（週一） 09:48,09:48,459,459-0677503登大狼小海龜拔拔,,https://docs.google.com/document/d/1YZLRuvlZJASOOuVCdRAljAbaDbmFe2QB/edit?usp=drivesdk&ouid=113713286884009637132&rtpof=true&sd=true
24,2025/4/7（週一） 19:04,19:04,509,🔥📊⚡️ ⭐ 509-0726577小棕熊,,https://docs.google.com/document/d/11HU7sXPrUIMwHoxO3rfr8XIy6MCDufK0co0luX21o7s/edit?usp=sharing
25,2025/4/7（週一） 19:20,19:20,510,510-0726629小平,,https://docs.google.com/document/d/1SUh62gS-m8DofEM1jidShQ28Ly81Pxeu11qgOWhfjN4/edit?usp=drivesdk
26,2025/4/7（週一） 22:19,22:19,400,400-0430135 公園居民汪喵,四月小作文-大車隊 2640,https://docs.google.com/document/d/1PzIngQ8pWeKcd_XH2iJpcKl-kNN0wYev/edit?usp=sharing&ouid=110608643445230767980&rtpof=true&sd=true
27,2025/4/7（週一） 23:16,23:16,398,398-0502254昶,,https://docs.google.com/document/d/1Qj3MA2_7wc23NnlZxHVw_hv2CEKA4zf5/edit?usp=sharing&ouid=100414953647297667793&rtpof=true&sd=true
28,2025/4/8（週二） 11:49,11:49,455,455-0540601包爺仔,3月小作文-3189景碩,https://docs.google.com/file/d/1uJc9QjE12mDQnl4zzCTJl79zJCwR2gqJ/edit?usp=docslist_api&filetype=msword
29,2025/4/8（週二） 16:59,16:59,511,511-0558402 James建智,四月小作文-中興電1513,https://drive.google.com/drive/folders/1ib0xm0U9nVltBHOOPS9SnKriMywhl-2p?usp=sharing
30,2025/4/8（週二） 17:28,17:28,513,513-0727822 Loui,四月小作文-台指期看法,https://docs.google.com/document/d/1JyOUFUUZl1yHyGIiaO_MkLxX8Z5ksC4u/edit?usp=sharing&ouid=109637127114127597175&rtpof=true&sd=true
31,2025/4/8（週二） 17:35,17:35,447,447-0429654 Samuel,狼友小作文-關稅戰之我見,https://docs.google.com/document/d/12KKgGLujQwaBG1um9Uyqn-N1TN1zkqsmRGehNC4wdl0/edit
32,2025/4/8（週二） 17:49,17:49,512,512-0726962火熱鐵甲,四月小作文-所羅門2359,https://docs.google.com/document/d/1U_sLTILu_5_SxWaJE1mSMdV8R2i0KlNY/edit?usp=drivesdk&ouid=113361946980115377856&rtpof=true&sd=true
33,2025/4/8（週二） 23:47,23:47,318,🔥⚡⭐318-0398439交易失敗,四月小作文 - 車用零組件為焦點，分析台灣、日本、韓國、東南亞與中國在美國關稅影響下的受惠程度,https://docs.google.com/document/d/10Fu1w3bP8Vwx7DAmgOLlryvc4E2lMtccLINKr9Fz-WM/edit?usp=sharing
34,2025/4/9（週三） 02:14,02:14,510,510-0726629小平,,https://docs.google.com/document/d/1FqeWeYvnNpa_dtL-ebwSa5GGQzDZ1Z6A7Wz7zlmjLuo/edit?usp=drivesdk
35,2025/4/9（週三） 02:18,02:18,510,510-0726629小平,,https://docs.google.com/document/d/1GkHG0Ck0II5s2codFarOO5wo1PYizEwqAMRTATreKkA/edit?usp=drivesdk
36,2025/4/9（週三） 12:12,12:12,510,510-0726629小平,,https://docs.google.com/document/d/1Sg2Gj8Wjo7lsM1Xb9YqYCyplYtqYfrruf5NtGQ4I0Cw/edit?usp=drivesdk
37,2025/4/9（週三） 20:32,20:32,484,484-0401708 YWL,四月小作文: 正瀚生技，美國內需股且在美國設廠,https://drive.google.com/file/d/16ND3xXSjsD1pu3MPcV7kXVv0al5LA4uO/view?usp=drive_link
